Year,SettlementPoint,HourlyVolatility
2016,HB_BUSAVG,0.1857728659720291
2016,HB_HOUSTON,0.19109873836659222
2016,HB_HUBAVG,0.1879565397121566
2016,HB_NORTH,0.1841805116762344
2016,HB_SOUTH,0.2090261556542678
2016,HB_WEST,0.20884898330524113
2017,HB_BUSAVG,0.1540921316526925
2017,HB_HOUSTON,0.17047734751575552
2017,HB_HUBAVG,0.1586868365905479
2017,HB_NORTH,0.15257522475143365
2017,HB_SOUTH,0.15614468087549513
2017,HB_WEST,0.24762755114220264
2018,HB_BUSAVG,0.20025431760641674
2018,HB_HOUSTON,0.20024358737813383
2018,HB_HUBAVG,0.20212103280709776
2018,HB_NORTH,0.20015889840339202
2018,HB_SOUTH,0.19868392231681212
2018,HB_WEST,0.30251162890279315
2019,HB_BUSAVG,0.2493778344995213
2019,HB_HOUSTON,0.24794607380680087
2019,HB_HUBAVG,0.2506480102790352
2019,HB_NORTH,0.2496184779733532
2019,HB_PAN,0.6316345305022137
2019,HB_SOUTH,0.24898029043091174
2019,HB_WEST,0.33660737515064554
