DayOfWeek_Month,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24
01_01,0.7292428750412979,0.7261678471052181,0.7471439305263332,0.8088421696152464,0.9158311773055617,1.5245549217377934,1.3939101634249225,1.1795807162801681,1.150192235005349,1.04900185142307,0.9584862076760384,0.9168415436274163,0.8949209873402199,0.8761852814153914,0.8564831381392236,0.8984133404961959,1.2941694358696518,1.3970510848167752,1.147051313613496,1.0744806543220158,1.0015365987811542,0.8907696996265122,0.8057232127086512,0.7634196141022977
01_02,0.6172793377978328,0.6038858391055671,0.6342367717644353,0.7079584973989019,0.8675883079929869,1.4291093035955507,1.3116718880234528,1.166384042767223,1.1403443221337626,1.0717960509297846,1.0383123041991205,1.0161239329750233,1.0210961975109936,1.009887046244934,1.0243439772368006,1.0127899290087086,1.1628775903198916,1.6446699048659212,1.168740838674446,1.0780904204868793,0.9952001839450464,0.8565228637944414,0.7519616014715603,0.6691288477567326
01_03,0.5021872331782398,0.4793030944741801,0.49539420975622606,0.5648590804969514,0.7200604827334586,1.188530848827019,1.147231071875905,1.0233317410225644,1.0176219904386128,1.0195402860893474,1.0304407190223464,0.985733146268163,1.0326072646984703,1.117034841514927,1.221367556730773,1.3786000955386464,1.363276298516894,1.7087049247539126,1.5633658189805952,1.3540684793933673,0.9902919194616737,0.8156593106924295,0.7219787783841932,0.5588108071511053
01_04,0.5351151816993859,0.4905949952937273,0.4938525699087755,0.5531276531002405,0.7070427308269289,1.0969084091024017,0.9975204463374019,0.9429081660263001,0.9497639766540487,0.9236395057216034,0.9507433781722984,0.992516982059387,1.1219257304924777,1.2921073899570539,1.612307812412672,1.937767195194545,1.5909738923847094,1.2021089069648399,1.205174859543709,1.2727322729655905,0.9754200381647223,0.8306815268372871,0.7233944779142296,0.6016719022656645
01_05,0.598794596774492,0.5389240166788144,0.5331744874816396,0.5814794123196797,0.6601969047257875,0.7686831950215145,0.7838894788055483,0.821161523292253,0.8534388030323772,0.9297588083601261,0.9900733675443888,1.0758279285045673,1.2730434396539922,1.4637546571556481,1.8332562536304537,1.9892039084959101,1.5991904781284803,1.1915066800353704,1.08282059914978,1.1249542146564897,0.9824591261751572,0.8755045637350478,0.7724792162289157,0.6764243404135665
01_06,0.6501581318995795,0.6136971578586078,0.6051284976963444,0.6149117875207843,0.6538020208861092,0.7052139818596901,0.7298599219140355,0.7965762166310406,1.008186787957867,0.9036182161323063,1.0180584144850109,1.151137657108206,1.329379038988692,1.5056990975853712,1.8886387038061156,1.9575192477393626,1.3637420163404494,1.1706821525814102,1.0722308974180836,1.0345332095392596,0.9353310924029514,0.8361731436179952,0.7634720372928113,0.6922505707379152
01_07,0.4050156831921724,0.38616353125252506,0.36862773904931206,0.37190688517846515,0.39399117039953574,0.42759360331440566,0.44143888697083,0.48738219241477077,0.5289415498079083,0.6080171596894213,0.707790175783976,0.8524016954008211,1.1446100504653536,2.084244084828807,3.8041150933278476,4.12886809223333,2.4438100974782015,0.9234146018966747,0.7429675390977942,0.6908655506012503,0.6183717394019084,0.5276251900714741,0.4783557256506505,0.43348196249256243
01_08,0.25536737010939115,0.2428935464686695,0.23840400800158598,0.24397484186054905,0.25490890086323426,0.280012254681108,0.2888875272576547,0.3043197750905586,0.33473445187334433,0.3739897997801367,0.4212294328605671,0.5059683901313775,1.0388653607021214,2.85083097550866,5.877497882463192,5.1786523455099225,2.487844437636289,0.6226877399124151,0.4579588747319289,0.44339166321252865,0.38215574257961044,0.33563408963938807,0.30470904143163513,0.2750815476941377
01_09,0.5591128030965586,0.5312493041419774,0.5230118808399283,0.531507299502668,0.5639778584695806,0.6394415014715716,0.6418003161978855,0.6765191204508161,0.7339968011646647,0.7951048451682307,0.9056927137042373,1.0744032513558193,1.537836632116276,1.9049087456588059,2.4389775705283303,2.4523749010441906,1.5200349522286272,1.1893770410235658,1.0821615404165859,0.9416830665205718,0.8010203102240643,0.7171165332794819,0.6483054849352976,0.5903855264602652
01_10,0.651588985709532,0.5933551874697911,0.6186539546730421,0.6530268572710073,0.7221418457056944,0.8488105579929385,0.8526966973482766,0.860702144420273,0.8817844504229818,0.9273688650610974,0.9821634299713639,1.0393868319787167,1.226834763783448,1.4706511469373578,1.79318128273364,1.7811731121256453,1.3433995137468127,1.2093082752908733,1.1599348747813036,1.0517641858254685,0.9787241966418898,0.8558639009228769,0.7834845554297056,0.7140003837562613
