DayOfWeek_Month,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24
01_01,0.7316161280536254,0.7284032302335994,0.7510784299562272,0.8161222750321435,0.9233498504789008,1.5333612632004738,1.393981595180653,1.1679923722569738,1.149038586556103,1.0552173473367907,0.9630372285867005,0.9200213807948455,0.896560292396816,0.8786928822178239,0.8603169558371014,0.8972306092081883,1.3161323875702462,1.3937735658253994,1.1211857673249446,1.0479132055301137,0.9803730081911558,0.8980164978835902,0.8152670432383234,0.7613180971092588
01_02,0.6439447105849327,0.63021389558478,0.6631373386629237,0.7422878589082474,0.9045555792878284,1.4652610380496138,1.330058279681445,1.1630305434351447,1.1472553626460806,1.0772892319897476,1.0443657889116038,1.0101608031001126,1.0070789979556338,0.9781527476886461,0.9914868946999053,0.9816007078997954,1.1598877124462206,1.6473011320294142,1.1446007384127177,1.028377017666982,0.951179324443902,0.8484118023983156,0.744484789308272,0.6958777042077319
01_03,0.5323027290546417,0.5066498823833819,0.5213860997795523,0.5843476975173704,0.7461503788271604,1.2377929762702953,1.1899125909847452,1.0197314583125838,1.0218753561611906,1.0307220150996943,1.0358969409411587,0.9897168884320899,1.0314120052118894,1.1000167363673048,1.2105137243345752,1.359255878520669,1.3515920597745004,1.641018269336408,1.4955535681832415,1.2519377735702983,0.9795395342772096,0.8312163026592342,0.7457807412670558,0.5856783927337469
01_04,0.5605134715160344,0.5204751475826996,0.5167157888262862,0.5821701455790536,0.7392559890755648,1.1183054440550333,1.027089101223041,0.9770642598570252,0.9879733193158196,0.953055103627416,0.9830377194761114,1.026005114342357,1.1348650734237742,1.27965804442232,1.567675664975019,1.8857220284777187,1.5437356993973685,1.1579747511779226,1.1361105051590277,1.206754160808685,0.9418231544594815,0.8206241957787938,0.7082124498968386,0.6251836675466051
01_05,0.5996990877103601,0.5335461478450542,0.5282204779569809,0.5936330780620612,0.6791542613319749,0.7952204301931253,0.7915903771752457,0.8297536977184801,0.8605852664427074,0.9241350761833498,0.9977630594341578,1.095416262000669,1.305147351494213,1.4826378385263264,1.8630769475712086,1.9571956248308369,1.5610660892547252,1.1788597175564015,1.0628890764062477,1.1187727873393944,0.9516709388781865,0.8553790061933801,0.7579885048321101,0.6765988950628097
01_06,0.6492914111434779,0.6166718397862377,0.6108650933956935,0.6199106624741907,0.6641437266125192,0.702870792181328,0.7225350727867563,0.7712330853449058,0.8198385601119708,0.9089293184784474,1.0364695290404795,1.1878844897022791,1.3822832543227679,1.5442012542726433,1.9230509709720516,2.004252882648586,1.376985465783188,1.1785844416982998,1.0597659179459695,1.015810467180894,0.9087442428962786,0.8423483777932437,0.7638763309536983,0.6894528124740942
01_07,0.40575886251013316,0.38732346117858746,0.3698362347853178,0.3738929832554107,0.39604907105360937,0.40831533417915594,0.42547850078339455,0.46452170425443484,0.5065054502555721,0.5909170241909631,0.7031737355542097,0.8470562818840075,1.1323009095178058,2.084232540903797,3.8388962763629895,4.192817574842558,2.48032962081504,0.9257427995465164,0.7386762857747255,0.6812816964729992,0.6066639294949918,0.5262490929576508,0.47944045676427305,0.43454017266185613
01_08,0.25141891075957007,0.23994832124052298,0.23531294602392178,0.24131885590908494,0.2518990343695758,0.2740109089903873,0.2805667786470116,0.2980083599704942,0.3268768832121142,0.3681587841524291,0.41920028865613396,0.5041472495464288,1.043343522623279,2.8650547122677397,5.913106356109137,5.214316995066366,2.493377931481996,0.6185999886516238,0.45263435095289983,0.43796875704726884,0.37372821802849604,0.32879737765213735,0.2980170894906761,0.270187379150705
01_09,0.5773949291612802,0.5486834815186133,0.5406696039891301,0.5503851937841331,0.5861805134158246,0.6602049969659393,0.6604028704851859,0.6867596232488192,0.7368216236181833,0.81949317995937,0.9242672084003904,1.095922486346727,1.544580903886236,1.8951534179352558,2.4068741260586233,2.4480120307099695,1.4647587262221988,1.1153338785848086,1.0350170171226551,0.9309355459989974,0.7963419782075296,0.7125821175104873,0.6535168720154078,0.6097076748542332
01_10,0.6339234996309061,0.5819649976649158,0.6197375312267656,0.6622528998022932,0.7382658699318262,0.8460324395027113,0.8544546936077183,0.860133334633064,0.8805083837052777,0.9323605440790331,1.0041198505191684,1.0681162207261534,1.2719943213589744,1.4983530345902616,1.7947057838305833,1.7809877184322769,1.3479647548516134,1.2153780576530944,1.1574431582035005,1.0230061173000933,0.9281706853449765,0.8417575074948669,0.777442112511177,0.6809264833987482
01_11,0.5674330686863749,0.570910750318463,0.6057913780313466,0.6652753056488536,0.8060435532044198,1.207741734558596,1.1032815213559497,1.0400344307783473,1.0235024666019286,1.037101758954273,1.0325859634021588,1.043615923802438,1.1268467073405466,1.179634800173884,1.214723050670773,1.227803286063104,1.6849886564426861,1.413366149267805,1.1514500072451699,1.0521803636426552,0.9844434303609391,0.8770764981822192,0.7678150080994512,0.6163541871676143
01_12,0.7056172227549257,0.6922472683146165,0.7137215387365717,0.7781443500024378,0.9114971857004329,1.613560644228113,1.4768273986554203,1.2082364986754643,1.1573353269083877,1.0451967301035252,0.9742297920289501,0.9225485256754048,0.8974554831439979,0.8818752607086942,0.8695454323836765,0.9145525561641016,1.5211411050256511,1.2980123840015603,1.0923274447026703,1.0027682523172603,0.9404473625760456,0.8495663432524526,0.7759774205955806,0.7571684733440597
02_01,0.6001051793851698,0.6026334350286857,0.635737782360973,0.7267747375247621,0.8737888527957719,1.57796730550661,1.5080847393600518,1.1933169117423152,1.1287278808493688,1.019262312284014,0.949340242143026,0.9060833682422451,0.8685545735338053,0.8403684735080452,0.8458397767365916,0.9024490007546908,1.4794245914011324,1.6554741425781463,1.2445338405207285,1.1010355807539833,1.003203938548245,0.8879510347989041,0.8174166527442522,0.6319256468984839
