DayOfWeek_Month,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24
01_01,0.7322273530585484,0.7305854854341259,0.7511772418904282,0.8136138190525056,0.921999885981415,1.5348497805142238,1.3955874807593638,1.1728407730460066,1.1527735020808392,1.0538053702753547,0.9609486346274443,0.915044752294624,0.8911464568724702,0.8727438572487316,0.8560515364004332,0.8922410352887522,1.3148167151245653,1.3946753320791287,1.1299241776409554,1.0519810729148853,0.9785987115899892,0.9039849495467761,0.814069893392623,0.7643121828858104
01_02,0.6419837263051291,0.6284774619854309,0.6605134786902834,0.7365877380767359,0.8971287908033068,1.4476068243233078,1.3189213037004355,1.1532063590741137,1.138406621779478,1.0701834425432284,1.0434416408055627,1.0134511162471234,1.0131503085785332,0.9889653720238841,1.0038854323859563,0.9921238525440808,1.1603054200528415,1.6560966194231508,1.1396399332206975,1.0227159924397005,0.9553952362092216,0.8650626933315952,0.7589377478529851,0.6938128876032146
01_03,0.5270639198520903,0.5010232611766061,0.5156742199949763,0.5765016409238587,0.7427517284260718,1.2294699218862593,1.1845287851398594,1.0145974280525918,1.030755483815179,1.0372780017376908,1.0436769871237919,0.9977475900861021,1.0317684506137508,1.096252434620405,1.2003903628150594,1.3392656402485472,1.3478635047827678,1.6487640569732054,1.5051945431560914,1.2585494809574593,0.9902121053650178,0.8434801586157766,0.7563650139385877,0.5808252796982512
01_04,0.5516151490102741,0.5117077446217638,0.5129275211111474,0.5775296457469885,0.7367449995876542,1.1321366993538637,1.0456706565120912,0.9925528425970499,0.9946011465131845,0.9552921230439946,0.9846358027414285,1.026177247332698,1.135726984869785,1.2797986985215006,1.5753528433642054,1.8998594188417113,1.5402785156317425,1.155565613810325,1.1341389739685122,1.1977514686224007,0.9334051901873203,0.8152019439708326,0.6969756831036023,0.6143530869359254
01_05,0.6109459062025613,0.5468259367415387,0.5401715292363176,0.6017247986596123,0.6882083304863956,0.8044465701579528,0.8012857265929729,0.8388355975152919,0.8697548266734794,0.9294781340328382,1.0028905082600803,1.0914654253027904,1.282114200327373,1.4614267168519897,1.8243533490385273,1.919749033774089,1.533032894756386,1.1582946892480817,1.0583359822232254,1.1243334452303644,0.9640097558367174,0.8778827101262852,0.7809660179609588,0.6894679147641697
01_06,0.6568091257505553,0.6220590316453443,0.6148733406435353,0.6247623301894332,0.667992001779094,0.709303948760555,0.730560655261083,0.7815305406308275,0.8276483516906689,0.920646442630479,1.0470083207298135,1.1819421967766437,1.3593663807087688,1.5217722393959556,1.9009040839254823,1.981795094206296,1.3682387451611628,1.1782684833705743,1.0620035408589905,1.0196518636682645,0.9120975497987448,0.8464328108047224,0.767020527932641,0.6973123936803658
01_07,0.40764712351132837,0.3893030623961608,0.37214785812578693,0.3755598772703451,0.3975418403305815,0.4213070886580086,0.4366908962296396,0.47447276675718486,0.5154645507656734,0.5955697249678762,0.702447955314834,0.8459905307552312,1.1338246614482457,2.082187655108666,3.8210215648724506,4.161997596527745,2.466426187346006,0.9274985560342904,0.7420368882464659,0.6840444513574269,0.6079813904275229,0.5249397398186795,0.4777183459434719,0.4361796877863783
01_08,0.2539286552495174,0.2422701363253469,0.23831409956680813,0.24395560010988987,0.2541993774118015,0.27514977958340076,0.28135892336998153,0.29948857527003986,0.32987932122967534,0.37103782286983683,0.4207895699192746,0.5019887526585535,1.034315853438881,2.8500319299324466,5.898564335629985,5.1943461277452005,2.4946523276102037,0.626669407849851,0.4582190920982969,0.44367869209174715,0.3790983569275217,0.334595126637205,0.3007810552706221,0.27268708120391305
01_09,0.575722305566393,0.54825845145261,0.5401485829767853,0.5493946166013971,0.5846940924309526,0.6591520877850819,0.6614635961912348,0.6854601876957885,0.7305346016157704,0.8132787669343293,0.9131045875932725,1.0808456594736746,1.5374861040146135,1.907111969401897,2.427730265252119,2.4521774050053295,1.470569894561915,1.1106993782107684,1.0340669978305121,0.9306955583451821,0.7974508110684687,0.7200740466252139,0.6619533225484706,0.6079267108182184
01_10,0.6467398333826686,0.5957181585460176,0.6297395529961,0.6702818883297555,0.7458248009298767,0.8520557196689877,0.8532015719009256,0.8603475230928289,0.8734935732446978,0.9253902625130103,1.0020998610220135,1.0459130836359283,1.2418121479434123,1.469440902237103,1.7664874681092833,1.7674458172487224,1.3461263684036457,1.2106449672347028,1.1597899618136065,1.0300794891582412,0.9491406542295403,0.8635559093422548,0.793929760994322,0.700740724022358
01_11,0.5793217500079507,0.5748439007325269,0.6025505931242114,0.6615767881184339,0.8031124444774252,1.205660917407851,1.1061559826568148,1.039726070962886,1.0255801380246155,1.0335690282091783,1.0279717166148985,1.0516585215888732,1.1376535815373525,1.1941609863141491,1.208942977388133,1.2196541963935503,1.6654800648779298,1.4043400366793526,1.1430727968536323,1.0341542016940348,0.978384624354666,0.894221411837042,0.7831147766905895,0.6250924934539016
01_12,0.7056121111558511,0.6918189704328463,0.7128978296882221,0.7777558581663016,0.914865730368961,1.621753382751548,1.4811411770110718,1.209861663230092,1.1530460302832946,1.0411443118157817,0.9771294377079174,0.9248754860974113,0.8983053137642248,0.8819394712449229,0.8715189480027782,0.915449452625264,1.507451917230346,1.28838311637422,1.0899824072597752,1.0043914290115368,0.9404197935893243,0.8545910025699995,0.7791827347928191,0.7564824248254916
