DayOfWeek_Month,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24
01_01,0.7324840277565493,0.7287699079876502,0.7503209733133616,0.8140800293461316,0.9397410815272215,1.5426665240118604,1.3966236664323053,1.1672653073701587,1.1483508085470608,1.0509354079417967,0.9590911869898815,0.9141549231192491,0.8898068046342432,0.871969859077431,0.8541329135206187,0.8912053312138903,1.3156466848042059,1.3943080732430528,1.1273270565218718,1.0557729343074618,0.9846544187326138,0.8982438174426067,0.8083712897013419,0.7640769724574328
01_02,0.6392893446768451,0.6254988658157364,0.6574663375112041,0.734891313600697,0.8959905459607518,1.455301122166417,1.3249375322353696,1.1597822766808712,1.1425667115666764,1.0730735141685404,1.0441405487148419,1.012834058576987,1.0117524523918018,0.9887382763403654,1.0055332168269884,0.9951377796027099,1.1641988352703763,1.6589435311437484,1.1414550607652363,1.024731726614022,0.9555389753784371,0.8522155400770143,0.745046393894934,0.6909360400194289
01_03,0.5234095842888943,0.496710012645554,0.5120194000557262,0.5739918002921031,0.7394556594212439,1.2244080625357858,1.17551600290266,1.0133834664739727,1.0189928260210597,1.0276150730104685,1.0355269644240457,0.9915094137423186,1.025410521223404,1.0878728218569063,1.1874205825528097,1.3276300762101305,1.3567546548192422,1.6598805255406515,1.5083298376898748,1.3224861220403128,1.0195317164578976,0.8424817129367387,0.7523400398656448,0.5773231229925566
01_04,0.5460066791030919,0.5053949898156533,0.5050750327813123,0.5686093581719027,0.7258225324027917,1.1190040194602442,1.0319299979717012,0.9760517873314157,0.9781086539807511,0.9483526497870287,0.9763717443657566,1.0194288195585166,1.1345447896996688,1.2833248106682817,1.5909863532611335,1.9239016474930513,1.5569566372515693,1.1656491842524006,1.1482572340285735,1.2177336186283558,0.9440560838973054,0.8230437626947239,0.7013686733495788,0.610020940045194
01_05,0.606886976056662,0.5437505119014653,0.5360047114435816,0.5951395687157026,0.6810688112575418,0.78911219710059,0.7890419934710623,0.8257584917140214,0.8572565201620923,0.9190591153562637,0.9871098335783959,1.0808082777879615,1.2860602893169575,1.4773885809896372,1.8429388799400925,1.9427216387087207,1.5547061783094185,1.1866753511156525,1.0814869128733953,1.1233984797014003,0.9618599281582856,0.871858875103843,0.7741354228013589,0.6857724544358943
01_06,0.6543866203051811,0.6194660766113969,0.6122015000431047,0.6225466249030145,0.6649846259949999,0.7054915371131354,0.7257679818385585,0.7722750653754418,0.8205523147216874,0.909750280180465,1.0361217276358516,1.183068478979281,1.3668898531566998,1.5403661024742088,1.9263542055806202,1.9933446363401248,1.3714646972614153,1.1776200465530617,1.061064973131412,1.0195235495272852,0.9125089801431076,0.8447139285611656,0.7641828788183568,0.695353314750424
01_07,0.40666810809095244,0.38814911203635555,0.37072506947598927,0.3746050133794588,0.39637316491150104,0.4169154445967416,0.42998347651701635,0.4672476003261056,0.5079156013020424,0.5896443583116292,0.696247602309717,0.8401625767905563,1.1316820429610555,2.0865290966038588,3.828742925945835,4.18219867455086,2.4814859629739088,0.9304962400645862,0.7441637193507242,0.6841912122047641,0.6071279092140732,0.5255300705570575,0.4776734618581281,0.43554155566707853
01_08,0.2518195828861712,0.24019794057449567,0.23641072380327846,0.24196588616105924,0.2519669116850515,0.27330358832289275,0.2791880738781707,0.297014858542687,0.3270439343144661,0.36811400360233354,0.41798913522328257,0.5031798465758333,1.0452198304563292,2.8696703445905056,5.902615663940121,5.206426424431159,2.4954811946343427,0.6231834864638056,0.45464800694467516,0.4395338054595431,0.37546311074648037,0.3308744830853539,0.2982108217335977,0.27047834194436454
01_09,0.5408213615075714,0.5141716591373532,0.5064180138727632,0.5151477712490475,0.548740761659053,0.6190024164913835,0.6201258662803146,0.64360780858994,0.6891167336464772,0.7674267090978714,0.8646143244452391,1.0296325229505292,1.4583851637098093,1.8075386243418725,2.339427639166959,2.4027275887498476,1.5803991776715889,1.5994425724544539,1.4077562543692912,0.9207868138917944,0.7584759452057317,0.6753038264055208,0.6191313369589658,0.5717991081466226
01_10,0.6359734263462772,0.5860846654962708,0.617638945818929,0.6582882834110588,0.7341835458864717,0.8462321766008513,0.8454278518083131,0.8503981665519472,0.8685057862403744,0.9186420316419311,0.9932173765090757,1.0496232305499056,1.3027380556479327,1.4840204896584972,1.7905301067534927,1.8016050404353667,1.3773958953655938,1.2066728022211737,1.1502257007550858,1.0235136103613534,0.9404412958909829,0.8503156717014305,0.7794732188201688,0.6888526255275159
