DayOfWeek_Month,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24
01_04,0.1711898896861947,0.15885187961872121,0.19175323979865047,0.3738674092320874,0.5872121666488165,0.8265181535825211,0.7621291635428938,0.8879511620434829,0.816364999464496,0.8576202206276106,0.9615936596337152,0.9987362107743387,1.2113098425618507,1.3920102816750561,1.9778087180036414,2.681460854664239,2.129720466959409,1.4173289065010175,1.3566670236692728,1.310656527792653,1.034207989718325,0.9259933597515261,0.7575024097675912,0.21154546428188925
01_05,0.2871287128712871,0.1902712010331468,0.3357727077055532,0.5645716745587601,0.8189840723202755,1.1528196297890658,1.1437795953508394,1.2946620749031426,1.235256134309083,1.3075764098148943,1.6162290142057685,1.5333620318553596,1.7389151958674127,1.5073181231166595,1.994834266035299,1.7946620749031423,1.503013344812742,0.7275075333620318,0.6192423590185104,0.8280241067585019,0.5871717606543263,0.47589324149806284,0.4304778303917348,0.3125269048643995
01_06,0.6146228896541664,0.6076204538321097,0.6158960598036314,0.5906448518392448,0.6697935961309774,0.7557325812198563,0.7792862289849565,0.7911691503799619,0.831698400137927,0.9306873792588206,1.0326470887284658,1.1944457952229597,1.4301944678988718,1.6434504679342377,1.9060418112613668,1.9034954709624374,1.4069591126711376,1.196355550447157,1.0767836539099145,1.038482451913513,0.8617239961628068,0.8044313394368875,0.7034265075793413,0.6144106946292557
01_07,0.4825409318608521,0.4825409318608521,0.4759164063588886,0.4848365595100475,0.5132367529986636,0.5582966442842971,0.5801379016323552,0.6132605291421731,0.6511055906731928,0.7690352624804256,0.9312377532364249,1.181133220191685,1.589951709832665,2.2278082495019307,2.7836780874142213,2.9268596633626025,1.7499241623008748,1.1939887350271785,0.9558337637635175,0.7675922965295029,0.6146379057316903,0.5042510104860991,0.45525575751613084,0.506940174303728
01_08,0.052012813423337044,0.049656923535012776,0.06008828042942638,0.0673391859746022,0.06435505878272478,0.0747471508456663,0.07936731268221336,0.08817572320911468,0.09742913515936613,0.1168652267380414,0.1477012077207747,0.2111008222710124,0.8754094176698286,3.4545329611899858,7.789802268852845,6.789674658150561,3.0300277798682664,0.3744294329176715,0.16686244547914547,0.13066027086189577,0.08909190261012968,0.07207714230556546,0.06130549020506058,0.05728738911775196
01_09,0.3223299382337301,0.2855156051867305,0.289606086636397,0.2818341718820304,0.31447621385037017,0.42230130486358247,0.4258191189102957,0.46786926821286856,0.5125373256432281,0.6561132245265267,0.8088518018570784,1.119237534257782,2.155683723974312,2.7449584816132853,3.6863418824395624,3.6333292428518833,1.9000286333701475,1.0969035055426024,0.9186403239661306,0.6745203910500266,0.423937497443449,0.3107129709166768,0.2347936352108643,0.3136581175604369
01_10,0.2703959515831225,0.33344730903371406,0.49743554674143475,0.6149216986938385,0.6742802434520961,0.8412774396498668,0.964234425220543,0.9553443205908501,0.9958284893660673,1.087464952472133,1.1268549545236954,1.2587020447240649,1.502017369896738,1.783765301237776,2.2141831361553717,2.2955617862271764,1.60240716679204,1.3653833002803804,1.0731040142241677,0.901593380291322,0.5745743007590782,0.472132941256924,0.3870614784927854,0.208028448334815
01_11,-0.2988827725481255,-0.6579590241360217,-0.6754177388358685,-0.5375720660564803,-0.03856551903846777,0.17015732386567217,0.8645972443894336,0.9531937070453733,1.1137096511514282,1.2734438617634607,1.190058955734341,1.2520764795934984,1.4071202892413928,1.5147389335852253,1.4748705253900523,1.8467150907136578,2.8366502719781117,2.0570014006058432,1.8779844304745776,1.7088694179342692,1.6692615875704375,1.3544835673105111,1.2426956776652227,0.400768704602456
01_12,0.0791652293894446,0.15393239047947566,0.5430320800275957,0.945067264573991,1.3051914453259743,2.820455329423939,2.3992756122800962,1.755864091065885,1.409968954812004,1.2048120041393584,1.1137461193515004,1.0389789582614695,0.9556743704725766,0.7432735426008968,0.6584166954122112,0.7916522938944464,1.718092445670921,1.401690238013108,0.91635046567782,0.6607450845119006,0.4850810624353226,0.4411003794411865,0.33502932045532946,0.12340462228354612
02_04,0.6698272663561033,0.6180955129299938,0.5796500568319012,0.5821942414266279,0.7200042403076579,0.898803879881507,0.9379560539225791,0.8463654085124176,0.9335744026761055,1.01498830970736,1.0277092326809936,1.0880629450114547,1.1079923910034803,1.421916501275037,2.269412658496222,2.477329077320832,2.037043798844516,1.0295466993327402,0.839722259848409,0.847496157221185,0.49300643702259733,0.4507447040324148,0.3469985100030035,0.7615592553548607
02_05,0.17075802535743187,0.2292284866468843,0.2925546263825195,0.37388724035608306,0.5903695710817373,0.9529268950633937,0.9960210412732668,1.0213110331804693,0.9788238467763689,0.9929862422444026,1.1087132452117614,1.2590369571081736,1.503844078769895,1.7150660911788507,2.0543566226058805,2.2686134340437007,1.7312516859994604,1.3219584569732938,1.1783113029403829,1.0957647693552737,0.7684111141084435,0.6646209873212839,0.5118694362017804,0.21931480981926085
02_06,0.691706702518733,0.6800861201733686,0.6542500681628008,0.6825681863053881,0.7474403693013547,0.7886201028553161,0.7857995731598394,0.8425486306328327,0.7811739044592574,0.8561999943589408,0.9807545857111964,1.1743557440087249,1.4698344349068755,1.7404924644848303,1.9745964292094056,1.9034062596955708,1.421208502956855,1.2054943918467886,0.9921495256809229,0.8150202608049792,0.7140452977069094,0.7194607147222247,0.6426294858174365,0.7361582505194475
02_07,0.42369942961502316,0.41086775273612747,0.4158225586596615,0.43475245821367603,0.4735651046146923,0.5344838082130142,0.5478871934677024,0.5865727935629871,0.6062014477985256,0.6884639307597632,0.8220531212365839,1.051498749387928,1.5619072826647962,2.3218347603986076,2.9141246377195187,3.4138612813149294,2.0629779124703886,1.1637441605018328,0.8212273202493283,0.7042176726704868,0.6107751148048647,0.5453462673530695,0.4747720445191429,0.40934319706734773
02_08,0.03275596491779574,0.030354279966049492,0.03517022413630505,0.04267706139385747,0.055666278960108145,0.07194995441828299,0.08139322875734807,0.09180472163716952,0.09861997422275313,0.12194523906824682,0.1592027914872214,0.3325264845493698,1.7540221935808369,3.989475338719311,6.734802426833485,6.521505139731539,2.7460186727861426,0.41901229134576085,0.19088994373015625,0.14359812643425232,0.1222847442708497,0.09956304422998336,0.08761749080506742,0.03714438401810694
02_09,0.2322526189682048,0.24036648537530034,0.2587724373591815,0.2728219510036825,0.2553417421669196,0.3762329060847191,0.37617845060547683,0.4127725326562702,0.4531784982540211,0.4914607001613243,0.5672627272665391,0.7365648122307005,1.799590222518702,2.902204766215821,4.47662158206781,5.233226010659659,2.2997637993587863,0.7422281820718948,0.6149657270827519,0.42992600861757957,0.2986883036437522,0.21036151631281946,0.1577030678855618,0.16151495143251943
02_10,0.3455642299503195,0.253584102200142,0.21845280340667142,0.2753016323633783,0.6474804826117814,0.9208658623136977,0.9278921220723918,1.1069552874378992,0.9198012775017744,0.9870830376153301,0.8731724627395319,1.026472675656494,1.2564229950319377,1.5044712562100782,2.795386799148332,2.909510290986516,1.8813342796309442,1.5364088005677785,1.4139815471965935,0.8267565649396736,0.4641589779985805,0.2733853797019163,0.21738821859474813,0.4181689141234919
